customer_id,address,email,first_name,last_name,store_id
1,1913 Hanoi Way Sasebo Japan,MARY.SMITH@sakilacustomer.org,MARY,SMITH,1
2,1121 Loja Avenue San Bernardino United States,PATRICIA.JOHNSON@sakilacustomer.org,PATRICIA,JOHNSON,1
3,692 Joliet Street Athenai Greece,LINDA.WILLIAMS@sakilacustomer.org,LINDA,WILLIAMS,1
4,1566 Inegl Manor Myingyan Myanmar,BARBARA.JONES@sakilacustomer.org,BARBARA,JONES,2
5,53 Idfu Parkway Nantou Taiwan,ELIZABETH.BROWN@sakilacustomer.org,ELIZABETH,BROWN,1
6,1795 Santiago de Compostela Way Laredo United States,JENNIFER.DAVIS@sakilacustomer.org,JENNIFER,DAVIS,2
7,900 Santiago de Compostela Parkway Kragujevac Yugoslavia,MARIA.MILLER@sakilacustomer.org,MARIA,MILLER,1
8,478 Joliet Way Hamilton New Zealand,SUSAN.WILSON@sakilacustomer.org,SUSAN,WILSON,2
9,613 Korolev Drive Masqat Oman,MARGARET.MOORE@sakilacustomer.org,MARGARET,MOORE,2
10,1531 Sal Drive Esfahan Iran,DOROTHY.TAYLOR@sakilacustomer.org,DOROTHY,TAYLOR,1
11,1542 Tarlac Parkway Sagamihara Japan,LISA.ANDERSON@sakilacustomer.org,LISA,ANDERSON,2
12,808 Bhopal Manor Yamuna Nagar India,NANCY.THOMAS@sakilacustomer.org,NANCY,THOMAS,1
13,270 Amroha Parkway Osmaniye Turkey,KAREN.JACKSON@sakilacustomer.org,KAREN,JACKSON,2
14,770 Bydgoszcz Avenue Citrus Heights United States,BETTY.WHITE@sakilacustomer.org,BETTY,WHITE,2
15,419 Iligan Lane Bhopal India,HELEN.HARRIS@sakilacustomer.org,HELEN,HARRIS,1
16,360 Toulouse Parkway Southend-on-Sea United Kingdom,SANDRA.MARTIN@sakilacustomer.org,SANDRA,MARTIN,2
17,270 Toulon Boulevard Elista Russian Federation,DONNA.THOMPSON@sakilacustomer.org,DONNA,THOMPSON,1
18,320 Brest Avenue Kaduna Nigeria,CAROL.GARCIA@sakilacustomer.org,CAROL,GARCIA,2
19,1417 Lancaster Avenue Kimberley South Africa,RUTH.MARTINEZ@sakilacustomer.org,RUTH,MARTINEZ,1
20,1688 Okara Way Mardan Pakistan,SHARON.ROBINSON@sakilacustomer.org,SHARON,ROBINSON,2
21,262 A Corua (La Corua) Parkway Tangail Bangladesh,MICHELLE.CLARK@sakilacustomer.org,MICHELLE,CLARK,1
22,28 Charlotte Amalie Street Sal Morocco,LAURA.RODRIGUEZ@sakilacustomer.org,LAURA,RODRIGUEZ,1
23,1780 Hino Boulevard Liepaja Latvia,SARAH.LEWIS@sakilacustomer.org,SARAH,LEWIS,2
24,96 Tafuna Way Crdoba Argentina,KIMBERLY.LEE@sakilacustomer.org,KIMBERLY,LEE,2
25,934 San Felipe de Puerto Plata Street Shikarpur Pakistan,DEBORAH.WALKER@sakilacustomer.org,DEBORAH,WALKER,1
26,18 Duisburg Boulevard Citt del Vaticano Holy See (Vatican City State),JESSICA.HALL@sakilacustomer.org,JESSICA,HALL,2
27,217 Botshabelo Place Davao Philippines,SHIRLEY.ALLEN@sakilacustomer.org,SHIRLEY,ALLEN,2
28,1425 Shikarpur Manor Munger (Monghyr) India,CYNTHIA.YOUNG@sakilacustomer.org,CYNTHIA,YOUNG,1
29,786 Aurora Avenue Shimonoseki Japan,ANGELA.HERNANDEZ@sakilacustomer.org,ANGELA,HERNANDEZ,2
30,1668 Anpolis Street Lungtan Taiwan,MELISSA.KING@sakilacustomer.org,MELISSA,KING,1
31,33 Gorontalo Way Kamarhati India,BRENDA.WRIGHT@sakilacustomer.org,BRENDA,WRIGHT,2
32,176 Mandaluyong Place Jhansi India,AMY.LOPEZ@sakilacustomer.org,AMY,LOPEZ,1
33,127 Purnea (Purnia) Manor Alessandria Italy,ANNA.HILL@sakilacustomer.org,ANNA,HILL,2
34,61 Tama Street Kurashiki Japan,REBECCA.SCOTT@sakilacustomer.org,REBECCA,SCOTT,2
35,391 Callao Drive Toulouse France,VIRGINIA.GREEN@sakilacustomer.org,VIRGINIA,GREEN,2
36,334 Munger (Monghyr) Lane Arak Iran,KATHLEEN.ADAMS@sakilacustomer.org,KATHLEEN,ADAMS,2
37,1440 Fukuyama Loop Nanyang China,PAMELA.BAKER@sakilacustomer.org,PAMELA,BAKER,1
38,269 Cam Ranh Parkway Chisinau Moldova,MARTHA.GONZALEZ@sakilacustomer.org,MARTHA,GONZALEZ,1
39,306 Antofagasta Place Vila Velha Brazil,DEBRA.NELSON@sakilacustomer.org,DEBRA,NELSON,1
