email_address;nickname
nick_CHOISNE@email.me;nick_CHOISNE
nick_COEFFARD@email.me;nick_COEFFARD
nick_ROUSSIERE@email.me;nick_ROUSSIERE
nick_GUEFFIER@email.me;nick_GUEFFIER
nick_COUILLAUD@email.me;nick_COUILLAUD
nick_RELION@email.me;nick_RELION
nick_FERRON@email.me;nick_FERRON
nick_BIANCHI@email.me;nick_BIANCHI
nick_HUGHES@email.me;nick_HUGHES
nick_MORENO@email.me;nick_MORENO
nick_ANIS@email.me;nick_ANIS
nick_SCHEIDER@email.me;nick_SCHEIDER
nick_ROSSI@email.me;nick_ROSSI
nick_BLANCO@email.me;nick_BLANCO
nick_CAMERON@email.me;nick_CAMERON
nick_WEBER@email.me;nick_WEBER
nick_SCHMIDT@email.me;nick_SCHMIDT
nick_REVERDY@email.me;nick_REVERDY
nick_SMITH@email.me;nick_SMITH
