nickname,first_name,last_name,nbFollowers
nick_SCHMIDT,Gerda,SCHMIDT,8
nick_RELION,Léonie,RELION,7
nick_SCHEIDER,Paul,SCHEIDER,5
nick_REVERDY,Frantz,REVERDY,5
nick_BLANCO,Francisco,BLANCO,4
nick_CAMERON,Andrew,CAMERON,4
nick_WEBER,Bertha,WEBER,4
nick_COEFFARD,Florian,COEFFARD,3
nick_ROSSI,Gina,ROSSI,3
nick_BIANCHI,Matteo,BIANCHI,3
nick_GUEFFIER,Hortense,GUEFFIER,3
nick_HUGHES,"Lara ",HUGHES,2
nick_ANIS,Karl,ANIS,2
nick_SMITH,John,SMITH,2
nick_ROUSSIERE,Jacob,ROUSSIERE,2
nick_CHOISNE,Eliane,CHOISNE,2
nick_FERRON,Prosper,FERRON,1
nick_COUILLAUD,Timothée,COUILLAUD,1
