student_number;first_name;last_name;gender;email_addresses;role;asso_name;asso_desc
9699114;Ludwig;JACQUET;M;Ludwig.JACQUET@centralesupelec.fr,Ludwig.JACQUET@hotmail.com;president;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
1978626;Rolande;ROUAULT;F;Rolande.ROUAULT@centralesupelec.fr,Rolande.ROUAULT@sfr.fr;vice-president;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
5421882;Pierre Louis;PRIEUR;H;Pierre Louis.PRIEUR@centralesupelec.fr;secretary;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
8737405;Jean-Brice;GENDREAU;garçon;Jean-Brice.GENDREAU@centralesupelec.fr;treasurer;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
9662058;Philppe;VEGER;garçon;Philppe.VEGER@centralesupelec.fr,Philppe.VEGER@hotmail.com;president;Barco;installation et exploitation de materiel video
7680585;Jean-Pierre;MORISSET;garçon;Jean-Pierre.MORISSET@centralesupelec.fr,Jean-Pierre.MORISSET@yahoo.com;vice-president;Barco;installation et exploitation de materiel video
6223280;Martial;FRETTE;M;Martial.FRETTE@centralesupelec.fr,Martial.FRETTE@yahoo.com;secretary;Barco;installation et exploitation de materiel video
2265713;Jean-Luc;GROSBOIS;M;Jean-Luc.GROSBOIS@centralesupelec.fr,Jean-Luc.GROSBOIS@free.fr;treasurer;Barco;installation et exploitation de materiel video
5148985;Jean-Fred;FRIBAULT;H;Jean-Fred.FRIBAULT@centralesupelec.fr,Jean-Fred.FRIBAULT@wanadoo.fr;president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
4266865;Rachida;VERGNEAU;F;Rachida.VERGNEAU@centralesupelec.fr;vice-president;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
