student_number;first_name;last_name;gender;email_addresses;registration_date;payment_date;registration_fee;event_year
7719175;Eliane;CHOISNE;M;Eliane.CHOISNE@centralesupelec.fr;October 08, 2015;November 07, 2015;20,5 e;2016
7208231;Florian;COEFFARD;M;Florian.COEFFARD@centralesupelec.fr,Florian.COEFFARD@yahoo.fr;01 octobre 2015;01 octobre 2015;20.5 euros;2016
5876984;Jacob;ROUSSIERE;garçon;Jacob.ROUSSIERE@centralesupelec.fr,Jacob.ROUSSIERE@yahoo.com;October 10, 2015;09 novembre 2015;20,5e;2016
2486399;Hortense;GUEFFIER;W;Hortense.GUEFFIER@centralesupelec.fr;10 octobre 2015;10 octobre 2015;20,5E;2016
7874799;Timothée;COUILLAUD;H;Timothee.COUILLAUD@centralesupelec.fr;27 septembre 2015;October 27, 2015;20,5;2016
2321657;Léonie;RELION;F;Leonie.RELION@centralesupelec.fr;09/10/2015;09/10/2015;20.5 E;2016
1056327;Prosper;FERRON;H;Prosper.FERRON@centralesupelec.fr,Prosper.FERRON@sfr.fr;23 septembre 2015;23 septembre 2015;20.5E;2016
2357186;Marie-Helene;COUVREUR;W;Marie-Helene.COUVREUR@centralesupelec.fr;September 25, 2015;September 25, 2015;20,5 e;2016
8298259;Béatrix;CHOISNET;fille;Beatrix.CHOISNET@centralesupelec.fr;September 15, 2015;September 15, 2015;20.5E;2016
7085217;Geneviève;RAGUIN;W;Genevieve.RAGUIN@centralesupelec.fr,Genevieve.RAGUIN@hotmail.com;2015/10/17;16/11/2015;20,5E;2016
2542500;Karl;ANIS;H;Karl.ANIS@centralesupelec.fr;October 15, 2015;November 14, 2015;20,5 euro;2016
9699114;Ludwig;JACQUET;M;Ludwig.JACQUET@centralesupelec.fr,Ludwig.JACQUET@hotmail.com;September 24, 2015;2015/10/24;20.5 E;2016
6060655;Gina;GUILLEMET;fille;Gina.GUILLEMET@centralesupelec.fr;16 octobre 2015;16 octobre 2015;20,5;2016
3656441;Camille;BOUET;garçon;Camille.BOUET@centralesupelec.fr;October 09, 2015;October 09, 2015;20,5 euros;2016
5857152;Alphonse;GOIZET;M;Alphonse.GOIZET@centralesupelec.fr;16 octobre 2015;16 octobre 2015;20,5euro;2016
8264456;Juliette;RENOUX;F;Juliette.RENOUX@centralesupelec.fr;2015/10/21;20/11/2015;20,5e;2016
2199095;Marie-Bernadette;PERRON;fille;Marie-Bernadette.PERRON@centralesupelec.fr,Marie-Bernadette.PERRON@google.com;10/10/2015;November 09, 2015;20.5e;2016
